Estado;Ano;Ideb;Meta
AC;2007;3,7;3,4
AL;2007;2,6;2,3
AP;2007;3,4;3,5
AM;2007;3,2;2,6
BA;2007;2,8;2,6
CE;2007;3,3;2,8
DF;2007;3,5;3,3
ES;2007;3,7;3,5
GO;2007;3,5;3,3
MA;2007;3,2;2,9
MT;2007;3,7;3,0
MS;2007;3,7;3,2
MG;2007;3,8;3,6
PA;2007;3,1;3,2
PB;2007;2,8;2,5
PR;2007;4,0;3,4
PE;2007;2,6;2,4
PI;2007;3,2;2,8
RJ;2007;3,5;3,2
RN;2007;2,8;2,6
RS;2007;3,7;3,7
RO;2007;3,3;3,2
RR;2007;3,5;3,2
SC;2007;4,1;4,1
SP;2007;4,0;3,9
SE;2007;2,8;2,8
TO;2007;3,6;3,3
AC;2009;4,1;3,6
AL;2009;2,7;2,5
AP;2009;3,6;3,6
AM;2009;3,4;2,8
BA;2009;2,9;2,8
CE;2009;3,6;3,0
DF;2009;3,9;3,4
ES;2009;3,8;3,7
GO;2009;3,7;3,5
MA;2009;3,4;3,0
MT;2009;4,2;3,1
MS;2009;3,9;3,3
MG;2009;4,1;3,7
PA;2009;3,4;3,3
PB;2009;2,9;2,7
PR;2009;4,1;3,5
PE;2009;3,0;2,6
PI;2009;3,5;2,9
RJ;2009;3,4;3,4
RN;2009;2,9;2,7
RS;2009;3,9;3,8
RO;2009;3,5;3,3
RR;2009;3,7;3,4
SC;2009;4,3;4,3
SP;2009;4,3;4,0
SE;2009;2,8;2,9
TO;2009;3,9;3,5
AC;2011;4,1;3,8
AL;2011;2,6;2,7
AP;2011;3,5;3,9
AM;2011;3,7;3,0
BA;2011;3,1;3,0
CE;2011;3,9;3,3
DF;2011;3,9;3,7
ES;2011;3,9;3,9
GO;2011;3,9;3,7
MA;2011;3,4;3,3
MT;2011;4,3;3,4
MS;2011;3,8;3,6
MG;2011;4,4;4,0
PA;2011;3,5;3,6
PB;2011;3,1;2,9
PR;2011;4,1;3,8
PE;2011;3,2;2,8
PI;2011;3,6;3,2
RJ;2011;3,7;3,7
RN;2011;3,0;3,0
RS;2011;3,9;4,1
RO;2011;3,6;3,6
RR;2011;3,6;3,7
SC;2011;4,7;4,6
SP;2011;4,4;4,3
SE;2011;2,9;3,2
TO;2011;4,0;3,7
AC;2013;4,3;4,2
AL;2013;2,8;3,2
AP;2013;3,4;4,3
AM;2013;3,8;3,4
BA;2013;3,2;3,4
CE;2013;4,1;3,6
DF;2013;3,9;4,1
ES;2013;3,9;4,3
GO;2013;4,5;4,1
MA;2013;3,4;3,7
MT;2013;4,2;3,8
MS;2013;3,9;4,0
MG;2013;4,6;4,4
PA;2013;3,4;4,0
PB;2013;3,2;3,3
PR;2013;4,1;4,2
PE;2013;3,4;3,2
PI;2013;3,6;3,6
RJ;2013;3,9;4,1
RN;2013;3,2;3,4
RS;2013;4,0;4,5
RO;2013;3,8;4,0
RR;2013;3,5;4,1
SC;2013;4,3;5,0
SP;2013;4,4;4,7
SE;2013;2,8;3,6
TO;2013;3,8;4,1
AC;2015;4,4;4,6
AL;2015;3,2;3,5
AP;2015;3,5;4,7
AM;2015;4,2;3,8
BA;2015;3,4;3,8
CE;2015;4,5;4,0
DF;2015;4,0;4,5
ES;2015;4,1;4,7
GO;2015;4,6;4,5
MA;2015;3,7;4,1
MT;2015;4,5;4,2
MS;2015;4,3;4,4
MG;2015;4,6;4,8
PA;2015;3,6;4,4
PB;2015;3,5;3,7
PR;2015;4,3;4,6
PE;2015;3,8;3,6
PI;2015;3,9;4,0
RJ;2015;4,0;4,4
RN;2015;3,4;3,7
RS;2015;4,2;4,9
RO;2015;4,1;4,4
RR;2015;3,7;4,4
SC;2015;4,9;5,3
SP;2015;4,7;5,1
SE;2015;3,1;4,0
TO;2015;4,0;4,5
AC;2017;4,6;4,9
AL;2017;3,9;3,8
AP;2017;3,5;4,9
AM;2017;4,4;4,1
BA;2017;3,4;4,1
CE;2017;4,9;4,3
DF;2017;4,3;4,8
ES;2017;4,4;5,0
GO;2017;5,1;4,8
MA;2017;3,7;4,3
MT;2017;4,7;4,4
MS;2017;4,6;4,6
MG;2017;4,5;5,0
PA;2017;3,6;4,7
PB;2017;3,6;4,0
PR;2017;4,7;4,8
PE;2017;4,1;3,8
PI;2017;4,2;4,2
RJ;2017;4,2;4,7
RN;2017;3,4;4,0
RS;2017;4,4;5,1
RO;2017;4,8;4,6
RR;2017;4,0;4,7
SC;2017;5,0;5,6
SP;2017;4,9;5,3
SE;2017;3,4;4,2
TO;2017;4,5;4,8
